n_splits,validation_samples_per_repo,gap_samples,fold,baseline,validation_rows,rmsle,mae,rmse,smape,forecast_bias
4,2,4,1,rolling_3week_mean_x4,38,0.8336431365960542,56.1578947368421,122.38702870533967,0.46055001871032814,-17.84210526315789
4,2,4,1,previous_4week_total,38,0.7521538848823395,49.86842105263158,115.84256557932407,0.4166921670893793,-16.605263157894736
4,2,4,2,last_week_x4,38,0.7089204045957201,65.73684210526316,158.11970814943706,0.4715648614812801,42.421052631578945
4,2,4,2,previous_week_x4,38,0.8532588900109183,65.52631578947368,162.59199824941214,0.5210274277641608,19.473684210526315
4,2,4,2,rolling_3week_mean_x4,38,0.6124432206835178,39.40350877192983,81.67583192394085,0.4216403549288371,13.964912280701753
4,2,4,2,previous_4week_total,38,0.6159464944556793,35.18421052631579,65.93078507838831,0.41165874637355815,9.657894736842104
4,2,4,3,last_week_x4,38,0.7664513504231465,38.473684210526315,62.14033354136087,0.46981011899030867,-18.94736842105263
4,2,4,3,previous_week_x4,38,0.8725600637087698,56.94736842105263,110.0581186177749,0.5289612699759606,-0.3157894736842105
4,2,4,3,rolling_3week_mean_x4,38,0.752408244490918,53.59649122807018,106.30308099598884,0.43272226848725315,4.31578947368421
4,2,4,3,previous_4week_total,38,0.7702793741823792,54.526315789473685,104.71615770362531,0.4338707772658911,5.421052631578948
4,2,4,4,last_week_x4,38,0.5506977508895294,26.63157894736842,38.23748505273189,0.3680646324820293,-2.473684210526316
4,2,4,4,previous_week_x4,38,0.7192058097765012,33.78947368421053,54.192638847570045,0.43575198722474345,-14.157894736842104
4,2,4,4,rolling_3week_mean_x4,38,0.5044405176735621,30.859649122807014,43.66325150700234,0.3603217110408925,-12.6140350877193
4,2,4,4,previous_4week_total,38,0.510400326375979,37.1578947368421,58.844576729944414,0.37309485968544254,-10.105263157894736
5,1,4,1,last_week_x4,21,0.7680115278293738,57.523809523809526,128.04165988718933,0.4710854117884554,17.428571428571427
5,1,4,1,previous_week_x4,21,0.8141762108435073,88.95238095238095,210.2107785737245,0.5113046840821137,46.76190476190476
5,1,4,1,rolling_3week_mean_x4,21,0.6784455049403912,53.84126984126984,108.19735055289784,0.4554602367441426,14.06349206349206
