user_id,train_history_count,candidate_count_validation
271933,1,144
273071,1,144
273120,1,144
273283,1,144
274594,1,144
275145,1,144
275268,1,144
275330,1,144
275340,1,144
275571,1,144
276351,1,144
276946,1,144
277729,1,144
277784,1,144
278444,1,144
278995,1,144
280235,1,144
280252,1,144
280420,1,144
282896,1,144
283447,1,144
283903,1,144
284007,1,144
284129,1,144
284263,1,144
284475,1,144
284778,1,144
285039,1,144
285055,1,144
285598,1,144
285707,1,144
286171,1,144
286425,1,144
288470,1,144
288516,1,144
288709,1,144
288851,1,144
290084,1,144
290367,1,144
290624,1,144
290710,1,144
292420,1,144
292468,1,144
292738,1,144
292959,1,144
293844,1,144
294138,1,144
294474,1,144
294627,1,144
295282,1,144
295749,1,144
296285,1,144
296432,1,144
296794,1,144
297343,1,144
298675,1,144
299113,1,144
299586,1,144
299830,1,144
300946,1,144
301029,1,144
301510,1,144
302680,1,144
302736,1,144
302886,1,144
303135,1,144
303623,1,144
