candidate_id,family,mode,model_kind,feature_set,parameters,fold,rmsle,mae,rmse,smape,forecast_bias
26,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 100.0}",1,0.697458798530571,46.88428244367626,74.62250487353661,0.4557702737402984,-41.16925539239326
26,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 100.0}",2,0.48211790893815226,41.08532551925387,55.57005878934248,0.4042727839218605,-32.4723367004523
26,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 100.0}",3,0.47226547683268993,33.196594632234216,45.494580277382966,0.3571055284134037,-24.82426448843986
27,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1000.0}",1,0.6698503162367891,46.790395945669495,75.53194687788046,0.46648163022404404,-26.00196685140444
27,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1000.0}",2,0.520478972806938,39.24186080845174,52.85675498321659,0.42746449643572243,-24.29043871102821
27,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1000.0}",3,0.464618873154309,28.810079075815768,37.965501678849265,0.35178897819536253,-15.163904119704627
28,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1000.0}",1,0.6828423751060607,41.7109066444512,72.23729630815676,0.40331053305984205,-34.8265622080112
28,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1000.0}",2,0.47697922891346034,38.86963069829338,53.52577782580264,0.3838892794863504,-28.403535609454412
28,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1000.0}",3,0.4521029066332041,29.984868167330145,40.572964847272196,0.33296261951243883,-19.827410099355372
29,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 0.1}",1,0.6802780023284967,46.564921762454084,74.48117441268265,0.47347289550788,-31.491549644275356
29,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 0.1}",2,0.5618682098133403,42.27440604846272,55.540256793265456,0.4503778664200757,-27.83480833086652
29,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 0.1}",3,0.5284782198212851,34.28241150040484,44.493509869123905,0.39956334285976675,-20.88869628312293
30,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 0.1}",1,0.6978039020376814,47.84618506806328,75.23069587796773,0.4627561593561097,-41.998743729357784
30,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 0.1}",2,0.4919264702762784,42.408232832140904,57.72719891823091,0.41438556454863457,-33.794799693626054
30,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 0.1}",3,0.4828030838255171,34.84152117430793,47.85692909919361,0.3712715213555619,-26.981152234962476
31,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1.0}",1,0.6802533838332945,46.56430141133003,74.48373590734734,0.47344417759313456,-31.47852631593488
31,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1.0}",2,0.561797281554815,42.270789308958456,55.5367908988543,0.45034787116014524,-27.82823831371289
31,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1.0}",3,0.5283697000859617,34.27477797591923,44.48371368283548,0.39949573091248225,-20.880473769491378
32,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1.0}",1,0.697705755406344,47.83400151802457,75.22288720732321,0.4626063327419546,-41.9846016372637
32,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1.0}",2,0.4919072904414366,42.404702865961546,57.722213870847014,0.41434808593131955,-33.785782761467836
32,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1.0}",3,0.48276162696570474,34.836232533717634,47.85018356478624,0.3712137378735114,-26.972915196732
33,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 10.0}",1,0.6800091375239828,46.55752727448533,74.50929820259225,0.47315431187269047,-31.3499395410706
33,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 10.0}",2,0.5610905544993054,42.234363495330015,55.50195313836443,0.45004495402500216,-27.762788255070106
33,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 10.0}",3,0.527289851383864,34.198457297252986,44.38576456130382,0.398820354177221,-20.798237325574945
34,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 10.0}",1,0.6967593520293816,47.71322099603005,75.14594275357288,0.4611277520229092,-41.844328919833394
34,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 10.0}",2,0.49171259694273556,42.36896110613127,57.671966344338855,0.41396966485308834,-33.695820249150266
34,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 10.0}",3,0.4823436792329811,34.78252141988502,47.781085310530685,0.37063167098946576,-26.889769761619984
35,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 100.0}",1,0.6777817555103446,46.45964553719879,74.76240561761463,0.47026700598977306,-30.198843339756134
35,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 100.0}",2,0.5543123455886573,41.855245291060434,55.14668553168744,0.4468343247374655,-27.133647995565926
35,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 100.0}",3,0.5170573280382185,33.44693855294275,43.42510519417333,0.3922148821364781,-19.98646888709953
36,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 100.0}",1,0.6899076068599675,46.59380863775578,74.47430365033496,0.4479584038089317,-40.539786024079376
36,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 100.0}",2,0.4896133214489222,41.98298527640373,57.14816308705297,0.4099688236250023,-32.82052860149655
36,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 100.0}",3,0.4780133871016131,34.19334259724796,46.98305472569909,0.36458904939934783,-26.01277004954284
37,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1000.0}",1,0.671553314836455,47.77014140855731,77.2635646005193,0.4671181640709211,-23.96142758030169
37,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1000.0}",2,0.5127198668249535,38.77767910775887,52.79384535772386,0.4195090430128534,-22.860047391637156
37,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1000.0}",3,0.45795559111729656,28.26363445610489,37.5731518942194,0.3474974041321928,-14.327852075837251
38,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1000.0}",1,0.6847063640803497,42.03314163783038,72.25612357559753,0.4059494350778694,-32.03761741617131
38,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1000.0}",2,0.47754425623160285,38.57104156878709,53.30148365623095,0.3809105009523686,-26.49884050287646
38,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1000.0}",3,0.45176541998885705,29.507998714017706,39.90971501039252,0.331451036391993,-18.638884828882674
39,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.6283263776296385,45.90344992486944,71.87598345819003,0.46806452971511353,-36.25868035424746
39,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.5150708703122098,43.23502622283596,60.30787425011656,0.4310504610137942,-31.184747412340027
39,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.48755988653978194,36.051752149540626,49.65507147240282,0.3924573398161801,-24.198394350506636
40,additive_residual_extra_trees,additive_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.6389354761127699,49.51705890664887,74.29914470053777,0.49238691445614796,-31.03162753168217
40,additive_residual_extra_trees,additive_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.5160706575681527,40.8238503956872,56.170742078295795,0.42334110569973404,-30.198822117385745
40,additive_residual_extra_trees,additive_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.49523375763292704,34.65757325340243,47.51737159562834,0.38049894111525506,-22.959307417392896
41,log_residual_extra_trees,log_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.6698079971222839,47.731171654536254,74.7138993072402,0.4579248220223242,-38.67596403808236
41,log_residual_extra_trees,log_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.5158761800774039,43.26544886603171,60.16681817483916,0.41912851398371037,-35.96282467996907
41,log_residual_extra_trees,log_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.5130623481223233,36.34491407825844,51.70104963635121,0.38561521622233685,-29.68911400908279
42,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.2, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.7234843758352437,50.582709542402796,82.00034828077723,0.4431679185392115,-21.421433040546457
42,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.2, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.4741174931003433,37.558287420960234,52.82966779487754,0.368290427060298,-21.424828270346786
