model,parameters_json,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_mcc,mean_test_cohen_kappa,mean_test_neg_log_loss,mean_fit_time,std_fit_time,param_model__strategy,param_model__C,param_model__penalty,param_model__kernel,param_model__gamma,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__n_estimators,param_model__n_neighbors,param_model__p,param_model__weights,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__reg_lambda
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.001206827163696289,0.0003283440010159719,,,,,,entropy,3,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0013222217559814454,0.0005825867021553786,,,,,,entropy,3,5.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0015051841735839843,0.0007541074866653129,,,,,,entropy,5,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0017928123474121095,0.0013827341689304844,,,,,,entropy,5,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0024273872375488283,0.0007547332296212918,,,,,,entropy,5,5.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": null, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0022940635681152344,0.001151570493850427,,,,,,entropy,,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": null, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0011146068572998047,6.697516960694591e-05,,,,,,entropy,,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": null, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0015286922454833985,0.0005713182061036063,,,,,,entropy,,5.0,,,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",20,0.9893939393939395,0.021212121212121238,0.993859649122807,0.012280701754385915,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.10509222560096107,0.1344162940979004,0.007884946251169452,,,,,,,3,1.0,sqrt,200.0,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",23,0.9878787878787879,0.024242424242424267,0.9933333333333334,0.01333333333333324,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.10573030755572096,0.3327758312225342,0.027213232971847093,,,,,,,3,1.0,sqrt,500.0,,,,,,,
