repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url,topic_count,has_ai_topic,has_ml_topic,has_deep_learning_topic,has_data_science_topic,has_web_topic,has_llm_topic,early_to_total_star_ratio,early_peak_to_average_ratio,forks_per_star,issues_per_star
88011908,practical-tutorials/project-based-learning,1500,375.0,754,0.0,0.0,0,Unknown,beginner-project|cpp|golang|javascript|project|python|tutorial|webdevelopment,268897,34848,268897,311,2017-04-12T05:07:46Z,2026-06-13T20:57:41Z,2024-08-15T05:33:54Z,0,0,MIT,https://github.com/practical-tutorials/project-based-learning,1,0,0,0,0,1,0,0.00557832337912517,2.00531914893617,0.12959560874383597,0.0011565723806052854
91629816,freqtrade/freqtrade,4,1.0,1,1496.0,15.583333333333334,1,Python,algorithmic-trading|bitcoin|cryptocurrencies|cryptocurrency|freqtrade|python|telegram-bot|trade|trading-bot,51415,10707,51415,32,2017-05-17T23:48:53Z,2026-06-13T20:55:21Z,2026-06-13T07:33:22Z,0,0,GPL-3.0,https://github.com/freqtrade/freqtrade,1,0,0,0,0,0,0,7.779679477205539e-05,0.5,0.20824257040609928,0.0006223743581764431
101138315,d2l-ai/d2l-zh,552,138.0,383,948.0,45.142857142857146,1,Python,book|chinese|computer-vision|deep-learning|machine-learning|natural-language-processing|notebook|python,78314,12267,78314,130,2017-08-23T04:40:24Z,2026-06-13T19:08:15Z,2024-07-30T09:32:19Z,0,0,Apache-2.0,https://github.com/d2l-ai/d2l-zh,1,0,1,1,0,0,0,0.007048458149779736,2.7553956834532376,0.1566366596437464,0.0016599629700568218
103633984,goldbergyoni/nodebestpractices,1500,375.0,1352,0.0,0.0,0,Dockerfile,best-practices|es6|eslint|express|expressjs|javascript|jest|microservices|mocha|node-js|nodejs|nodejs-development|npm|rest|style-guide|styleguide|testing|types,105316,10720,105316,133,2017-09-15T08:33:19Z,2026-06-13T20:47:25Z,2025-04-15T21:52:42Z,0,0,CC-BY-SA-4.0,https://github.com/goldbergyoni/nodebestpractices,1,0,0,0,0,1,0,0.014242714851353533,3.595744680851064,0.10178793547100658,0.0012628540501533466
107111421,thedaviddias/Front-End-Checklist,1500,1500.0,1500,0.0,0.0,0,MDX,ai-agent|ai-agents|checklist|css|front-end-developer-tool|front-end-development|frontend|guidelines|html|javascript|lists|reference|resources|rules|web-development,72920,6650,72920,3,2017-10-16T10:12:36Z,2026-06-13T18:33:34Z,2026-06-09T20:18:49Z,0,0,No License,https://github.com/thedaviddias/Front-End-Checklist,1,1,1,0,0,1,0,0.02057020611346526,0.9993337774816788,0.09119458043636264,4.114041222693051e-05
109343098,serhii-londar/open-source-mac-os-apps,67,16.75,49,1433.0,102.35714285714286,1,Unknown,applications|apps|awesome|awesome-list|c|c-plus-plus|hacktoberfest|javascript|mac|macos|macos-application|macosx|objective-c|open-source|opensource|python|ruby|swift,49063,2585,49063,112,2017-11-03T02:35:33Z,2026-06-13T20:55:45Z,2026-04-15T22:47:24Z,0,0,CC0-1.0,https://github.com/serhii-londar/open-source-mac-os-apps,1,0,0,0,0,1,0,0.0013655633458340127,2.76056338028169,0.05268628729822273,0.0022827327572150662
110058856,LeCoupa/awesome-cheatsheets,19,4.75,8,1481.0,148.1,1,JavaScript,backend|bash|cheatsheet|cheatsheets|database|django|docker|feathersjs|frontend|javascript|kubernetes|language|nodejs|php|programming-language|redis|sailsjs|vim|vuejs|xcode,46007,6711,46007,138,2017-11-09T02:47:15Z,2026-06-13T16:58:22Z,2026-04-12T17:26:10Z,0,0,MIT,https://github.com/LeCoupa/awesome-cheatsheets,1,1,0,0,0,1,0,0.0004129716571031125,1.391304347826087,0.1458659363588941,0.002999478351591028
112507086,Chalarangelo/30-seconds-of-code,1500,750.0,1499,0.0,0.0,0,JavaScript,astro|awesome-list|css|education|es6-javascript|git|html|javascript|learn-to-code|learning-resources|nodejs|programming|snippets,128085,12477,128085,1,2017-11-29T17:35:03Z,2026-06-13T20:47:34Z,2026-06-11T06:35:33Z,0,0,CC-BY-4.0,https://github.com/Chalarangelo/30-seconds-of-code,1,0,1,0,0,1,0,0.01171088175132333,1.996005326231691,0.09741111440750745,7.80725450088222e-06
121395510,CyC2018/CS-Notes,1500,500.0,831,0.0,0.0,0,Unknown,algorithm|computer-science|cpp|interview|java|leetcode|python|system-design,184542,50892,184542,196,2018-02-13T14:56:24Z,2026-06-13T20:03:41Z,2024-08-21T09:40:10Z,0,0,No License,https://github.com/CyC2018/CS-Notes,1,0,0,0,0,0,0,0.008128186926624148,1.658682634730539,0.27577312604650406,0.0010620830917455553
126577260,trekhleb/javascript-algorithms,1500,500.0,1498,0.0,0.0,0,JavaScript,algorithm|algorithms|computer-science|data-structures|interview|interview-preparation|javascript|javascript-algorithms,196083,31057,196083,408,2018-03-24T07:47:04Z,2026-06-13T20:47:22Z,2026-05-28T14:30:51Z,0,0,MIT,https://github.com/trekhleb/javascript-algorithms,1,0,0,0,0,1,0,0.0076497827461700085,2.9900199600798403,0.15838620183186797,0.002080740906958242
